?langLabel	?conjClass	?derivedStem	?derivedStemAug	?formType	?pdgmType	?polarity	?rootClass	?tam	?num	?pers	?gen	?token
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Fem"	"dibil- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Imperative"	"Plural"	"Person2"	"Common"	"dibil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Singular"	"Person1"	"Common"	"bà-?-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Singular"	"Person2"	"Masc"	"bà-t-iidbil- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Singular"	"Person2"	"Fem"	"bà-t-iidbil- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Singular"	"Person3"	"Masc"	"bà-?-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Singular"	"Person3"	"Fem"	"bà-t-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Plural"	"Person1"	"Common"	"bà-n-iidbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Plural"	"Person2"	"Common"	"bà-t-iidbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Optative"	"Plural"	"Person3"	"Common"	"bà-?-iidbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Singular"	"Person1"	"Common"	"?a-dbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Singular"	"Person2"	"Masc"	"ti-dbil- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Singular"	"Person2"	"Fem"	"ti-dbil- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Singular"	"Person3"	"Masc"	"?i-dbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Singular"	"Person3"	"Fem"	"ti-dbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Plural"	"Person1"	"Common"	"ni-dbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Plural"	"Person2"	"Common"	"ti-dbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Past"	"Plural"	"Person3"	"Common"	"?i-dbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Singular"	"Person1"	"Common"	"?a-danbíil"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Singular"	"Person2"	"Masc"	"danbiil- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Singular"	"Person2"	"Fem"	"danbiil - `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Singular"	"Person3"	"Masc"	"danbíil"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Singular"	"Person3"	"Fem"	"danbíil"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Plural"	"Person1"	"Common"	"n-eedbíl"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Plural"	"Person2"	"Common"	"t-eedbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCC"	"Present"	"Plural"	"Person3"	"Common"	"?-eedbil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Singular"	"Person1"	"Common"	"?a-dìig"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Singular"	"Person2"	"Masc"	"ti-diig- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Singular"	"Person2"	"Fem"	"ti-diig- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Singular"	"Person3"	"Masc"	"?i-dìig"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Singular"	"Person3"	"Fem"	"ti-dìig"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Plural"	"Person1"	"Common"	"ni-dìig"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Plural"	"Person2"	"Common"	"ti-diig- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Aorist"	"Plural"	"Person3"	"Common"	"?i-diig- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"digii- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Fem"	"digii- `"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Imperative"	"Plural"	"Person2"	"Common"	"digii- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Singular"	"Person1"	"Common"	"bà-?a-dàag"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Singular"	"Person2"	"Masc"	"bà-ti-daag- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Singular"	"Person2"	"Fem"	"bà-ti-daag- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Singular"	"Person3"	"Masc"	"bà-?i-dàag"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Singular"	"Person3"	"Fem"	"bà-ti-dàag"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Plural"	"Person1"	"Common"	"bà-ni-dàag"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Plural"	"Person2"	"Common"	"bà-ti-daag- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Optative"	"Plural"	"Person3"	"Common"	"bà-?i-daag- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Singular"	"Person1"	"Common"	"?a-dgì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Singular"	"Person2"	"Masc"	"ti-dgii- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Singular"	"Person2"	"Fem"	"ti-dgii- `"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Singular"	"Person3"	"Masc"	"?i-dgì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Singular"	"Person3"	"Fem"	"ti-dgì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Plural"	"Person1"	"Common"	"ni-dgì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Plural"	"Person2"	"Common"	"ti-dgii- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Past"	"Plural"	"Person3"	"Common"	"?i-dgiil- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Singular"	"Person1"	"Common"	"?a-dangì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Singular"	"Person2"	"Masc"	"dangii- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Singular"	"Person2"	"Fem"	"dangii- `"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Singular"	"Person3"	"Masc"	"dangì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Singular"	"Person3"	"Fem"	"dangì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Plural"	"Person1"	"Common"	"ni-déeg"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Plural"	"Person2"	"Common"	"ti-deeg- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CCY"	"Present"	"Plural"	"Person3"	"Common"	"?i-deeg- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Singular"	"Person1"	"Common"	"?-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Singular"	"Person2"	"Masc"	"t-iibis- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Singular"	"Person2"	"Fem"	"t-iibis- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Singular"	"Person3"	"Masc"	"?-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Singular"	"Person3"	"Fem"	"t-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Plural"	"Person1"	"Common"	"n-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Plural"	"Person2"	"Common"	"t-iibis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Aorist"	"Plural"	"Person3"	"Common"	"?-iibis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"bis-à"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Fem"	"bis-ì"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Imperative"	"Plural"	"Person2"	"Common"	"bis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Singular"	"Person1"	"Common"	"bà-?-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Singular"	"Person2"	"Masc"	"bà-t-iibis- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Singular"	"Person2"	"Fem"	"bà-t-iibis- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Singular"	"Person3"	"Masc"	"bà-?-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Singular"	"Person3"	"Fem"	"bà-t-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Plural"	"Person1"	"Common"	"bà-n-iibís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Plural"	"Person2"	"Common"	"bà-t-iibis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Optative"	"Plural"	"Person3"	"Common"	"bà-?-iibis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Singular"	"Person1"	"Common"	"?a-bís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Singular"	"Person2"	"Masc"	"ti-bis- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Singular"	"Person2"	"Fem"	"ti-bis- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Singular"	"Person3"	"Masc"	"?i-bís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Singular"	"Person3"	"Fem"	"ti-bís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Plural"	"Person1"	"Common"	"ni-bís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Plural"	"Person2"	"Common"	"ti-bis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Past"	"Plural"	"Person3"	"Common"	"?i-bis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Singular"	"Person1"	"Common"	"?a-nbíis"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Singular"	"Person2"	"Masc"	"ti-nbiis- `a"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Singular"	"Person2"	"Fem"	"ti-nbiis- `i"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Singular"	"Person3"	"Masc"	"?i-nbíis"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Singular"	"Person3"	"Fem"	"ti-nbíis"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Plural"	"Person1"	"Common"	"n-eebís"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Plural"	"Person2"	"Common"	"t-eebis- `na"
"Beja-arteiga"	"Prefix"					"Affirmative"	"CVC"	"Present"	"Plural"	"Person3"	"Common"	"?-eebis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-dabiil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-dabiil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-dabiil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-dabiil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-dabíil"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-dabiil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-dbil- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-dbil- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-dbíl"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-dbil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCC"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-dbil- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-dagii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-dagii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-dagii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-dagii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-dagì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-dagii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-dgii- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-dgii- `"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-dgì"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-dgii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CCY"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-dgii- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"b-àa-biis-à"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Singular"	"Person2"	"Fem"	"b-íi-biis-ì"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Imperative"	"Plural"	"Person2"	"Common"	"b-àa-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person1"	"Common"	"b-aa-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person2"	"Masc"	"bi-t-biis- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person2"	"Fem"	"bi-t-biis- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person3"	"Masc"	"b-ii-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Singular"	"Person3"	"Fem"	"bi-t-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person1"	"Common"	"bi-n-bíis"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person2"	"Common"	"bi-t-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Optative"	"Plural"	"Person3"	"Common"	"b-ii-biis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person1"	"Common"	"k-aà-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person2"	"Masc"	"kí-t-bis- `a"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person2"	"Fem"	"kí-t-bis- `i"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person3"	"Masc"	"k-iì-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Singular"	"Person3"	"Fem"	"kí-t-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person1"	"Common"	"kí-n-bís"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person2"	"Common"	"kí-t-bis- `na"
"Beja-arteiga"	"Prefix"					"Negative"	"CVC"	"Present"	"Plural"	"Person3"	"Common"	"k-iì-bis- `na"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"finìk-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kwibìs-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dibìl-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dilìb-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kitìb-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCC"	"Imperative"	"Singular"	"Person2"	"Masc"	"kitìm-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"digiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"miriì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"šifiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CCY"	"Imperative"	"Singular"	"Person2"	"Masc"	"firiì-a"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"liw-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"dir-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"bis-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"rib-à"
"Beja-arteiga"	"Prefix"	"B"	"Simple"		"Structure"		"CVC"	"Imperative"	"Singular"	"Person2"	"Masc"	"min-à"
